NO,RUANG,GEDUNG
1,9009,LFM
2,9011,Labtek VIII Lantai II
3,9012,Labtek VII
4,9013,Labtek VII
5,9014,Labtek VII
6,9015,Labtek VIII Lantai II
7,9016,Oktagon Lantai I
8,9017,Oktagon Lantai I
9,9018,Oktagon Lantai I
10,9019,Oktagon Lantai II
11,9020,Oktagon Lantai II (MULTIMEDIA)
12,9021,Oktagon Lantai II
13,9022,TVST Lantai I
14,9023,TVST Lantai I
15,9024,TVST Lantai I
16,9025,Oktagon Lantai II
17,9026,Oktagon Lantai II
18,9027,Oktagon Lantai II
19,9103,GKU Barat Lantai 1
20,9104,GKU Barat Lantai 1
21,9107,GKU Barat Lantai 1
22,9108,GKU Barat Lantai 1
23,9114,GKU Barat Lantai 2
24,9115,GKU Barat Lantai 2
25,9116,GKU Barat Lantai 2
26,9121,GKU Barat Lantai 2
27,9122,GKU Barat Lantai 2
28,9123,GKU Barat Lantai 2
29,9124,GKU Barat Lantai 2
30,9125,GKU Barat Lantai 2
31,9126,GKU Barat Lantai 2
32,9127,GKU Barat Lantai 2
33,9128,GKU Barat Lantai 2
34,9131,GKU Barat Lantai 3
35,9132,GKU Barat Lantai 3
36,9133,GKU Barat Lantai 3
37,9134,GKU Barat Lantai 3
38,9135,GKU Barat Lantai 3
39,9136,GKU Barat Lantai 3
40,9137,GKU Barat Lantai 3
41,9138,GKU Barat Lantai 3
42,9212,GKU Timur Lantai II
43,9213,GKU Timur Lantai II
44,9214,GKU Timur Lantai II
45,9221,GKU Timur Lantai III
46,9222,GKU Timur Lantai III
47,9223,GKU Timur Lantai III
48,9224,GKU Timur Lantai III
49,9231,GKU Timur Lantai IV (MULTIMEDIA)
50,9232,GKU Timur Lantai IV
51,9233,GKU Timur Lantai IV
52,9234,GKU Timur Lantai IV
53,9301,Lab.Tek V
54,9302,Lab.Tek V
55,9303,Lab.Tek V
56,9304,Lab.Tek V
57,9305,Lab.Tek V
58,9306,Lab.Tek V
59,9307,Lab.Tek VI
60,9308,Lab.Tek VI
61,9309,Lab.Tek VI
62,9312,Lab.Tek VI
63,9313,Lab.Tek VI
64,9314,Lab.Tek VI
65,9315,Lab.Tek V
66,9401,Labtek I Lantai II
67,9402,Labtek I Lantai II
68,9404,Labtek I Lantai II
69,9405,Labtek I Lantai II
70,BSC-A,Basic Science A Lantai IV
71,TVST-A,TVST Lantai II
72,TVST-B,TVST Lantai II (MULTIMEDIA)
73,TVST-C,TVST Lantai II
